"school","sex","age","Pstatus","Medu","Fedu","internet","G1.x","G2.x","G3.x","G1.y","G2.y","G3.y","media_math","media_port"
"119","GP","F",17,"T",3,1,"yes",12,14,15,17,18,17,12,17
"120","GP","F",17,"T",3,2,"yes",17,17,18,18,18,18,17,18
"121","GP","F",17,"T",3,2,"yes",16,15,15,17,18,17,16,17
"122","GP","F",17,"T",3,2,"yes",7,8,0,12,13,15,7,12
"123","GP","F",17,"T",3,3,"no",10,9,9,15,12,13,10,15
"124","GP","F",17,"T",3,4,"yes",10,9,9,8,9,8,10,8
"125","GP","F",17,"T",3,4,"yes",16,15,15,11,13,14,16,11
"126","GP","F",17,"T",4,2,"yes",15,12,14,16,16,16,15,16
"127","GP","F",17,"T",4,3,"yes",13,15,15,11,12,13,13,11
"128","GP","F",17,"T",4,3,"yes",15,15,15,17,18,18,15,17
"129","GP","F",17,"T",4,3,"yes",6,6,4,11,9,10,6,11
"130","GP","F",17,"T",4,4,"no",11,11,12,13,13,13,11,13
"131","GP","F",17,"T",4,4,"yes",18,18,18,14,15,16,18,14
"132","GP","F",17,"T",4,4,"yes",10,9,9,11,11,12,10,11
"133","GP","F",17,"T",4,4,"yes",10,9,9,13,12,13,10,13
"134","GP","F",17,"T",4,4,"yes",14,14,14,15,14,15,14,15
"135","GP","F",17,"T",0,2,"yes",16,15,15,14,14,15,16,14
"136","GP","F",17,"T",2,2,"yes",10,13,12,13,12,12,10,13
"137","GP","F",17,"T",2,2,"yes",12,12,12,12,12,12,12,12
"138","GP","F",17,"T",2,2,"yes",10,9,0,10,11,12,10,10
"139","GP","F",17,"T",2,4,"yes",14,15,15,14,15,16,14,14
"140","GP","F",17,"T",3,2,"yes",14,15,15,14,16,15,14,14
"141","GP","F",17,"T",3,3,"yes",9,9,8,14,13,14,9,14
"142","GP","F",17,"T",4,2,"yes",14,12,13,14,15,17,14,14
"143","GP","F",17,"T",4,3,"yes",13,13,14,14,12,12,13,14
"144","GP","F",18,"A",3,2,"yes",10,9,9,12,9,10,10,12
"145","GP","F",18,"T",1,1,"no",9,8,10,11,10,11,9,11
"146","GP","F",18,"T",2,1,"yes",6,0,0,8,9,10,6,8
"147","GP","F",18,"T",2,2,"no",10,9,0,14,13,14,10,14
"148","GP","F",18,"T",3,1,"yes",9,8,7,8,8,8,9,8
"149","GP","F",18,"T",4,4,"yes",12,10,11,10,11,12,12,10
"150","GP","F",18,"T",1,1,"no",12,12,12,17,17,18,12,17
"151","GP","F",18,"A",4,4,"no",5,6,6,0,11,11,5,0
"152","GP","F",18,"T",1,1,"yes",8,9,10,12,13,13,8,12
"153","GP","F",18,"T",1,1,"yes",8,9,10,14,14,14,8,14
"154","GP","F",18,"T",2,1,"yes",7,0,0,12,10,11,7,12
"155","GP","F",18,"T",2,1,"yes",8,8,0,12,12,15,8,12
"156","GP","F",18,"T",2,2,"yes",18,18,19,18,18,18,18,18
"157","GP","F",18,"T",2,2,"yes",9,10,0,11,12,13,9,11
"158","GP","F",18,"T",2,3,"yes",11,10,10,11,12,14,11,11
"159","GP","F",18,"T",2,3,"yes",15,14,14,16,16,16,15,16
"160","GP","F",18,"T",3,2,"yes",13,13,14,14,16,17,13,14
"161","GP","F",18,"T",3,3,"yes",7,0,0,10,11,12,7,10
"162","GP","F",18,"T",4,3,"yes",9,10,9,14,15,17,9,14
"163","GP","F",18,"T",4,3,"yes",14,13,14,16,17,17,14,16
"164","GP","F",18,"T",4,3,"yes",17,18,18,15,15,15,17,15
"165","GP","F",18,"T",4,4,"yes",9,8,8,14,12,13,9,14
"166","GP","F",18,"T",4,4,"yes",11,11,11,12,11,13,11,12
"167","GP","F",18,"A",4,4,"yes",12,10,11,14,15,15,12,14
"168","GP","F",18,"T",1,1,"no",11,11,11,13,13,13,11,13
"169","GP","F",18,"T",2,2,"yes",8,8,0,10,9,12,8,10
"170","GP","F",18,"T",3,3,"yes",16,15,17,14,14,15,16,14
"171","GP","F",18,"T",4,3,"yes",10,8,8,13,14,14,10,13
"172","GP","F",19,"T",0,1,"no",7,8,9,9,10,11,7,9
"173","GP","F",19,"T",3,3,"yes",8,8,8,12,12,12,8,12
"174","GP","F",19,"T",3,3,"yes",9,9,9,11,12,12,9,11
"175","GP","F",19,"T",4,4,"yes",10,9,0,14,13,13,10,14
"176","GP","M",15,"T",2,1,"yes",9,9,9,10,9,10,9,10
"177","GP","M",15,"T",2,3,"no",11,8,8,7,8,8,11,7
"178","GP","M",15,"T",3,4,"no",9,0,0,12,11,11,9,12
"179","GP","M",15,"T",4,3,"yes",17,16,16,13,14,15,17,13
"180","GP","M",15,"T",4,4,"yes",10,13,13,12,10,11,10,12
"181","GP","M",15,"A",2,2,"yes",14,16,16,14,14,15,14,14
"182","GP","M",15,"A",3,4,"yes",16,18,18,16,16,16,16,16
"183","GP","M",15,"A",4,4,"yes",13,13,12,11,12,12,13,11
"184","GP","M",15,"T",2,2,"yes",12,12,11,11,12,12,12,11
"185","GP","M",15,"T",2,2,"yes",8,8,11,9,10,10,8,9
"186","GP","M",15,"T",2,2,"yes",16,14,15,14,13,13,16,14
"187","GP","M",15,"T",2,3,"yes",11,10,11,10,9,9,11,10
"188","GP","M",15,"T",2,3,"yes",10,12,12,11,11,12,10,11
"189","GP","M",15,"T",3,4,"yes",14,15,15,12,12,13,14,12
"190","GP","M",15,"T",3,4,"yes",14,13,13,14,13,14,14,14
"191","GP","M",15,"T",3,4,"yes",13,13,12,9,9,9,13,9
"192","GP","M",15,"T",4,0,"yes",11,11,10,12,11,11,11,12
"193","GP","M",15,"T",4,2,"yes",15,16,15,11,11,11,15,11
"194","GP","M",15,"T",4,2,"yes",10,10,10,11,9,10,10,11
"195","GP","M",15,"T",4,2,"no",15,15,14,11,12,13,15,11
"196","GP","M",15,"T",4,3,"yes",10,10,11,12,12,13,10,12
"197","GP","M",15,"T",4,3,"yes",9,9,10,11,11,11,9,11
"198","GP","M",15,"T",4,3,"yes",13,14,15,12,13,14,13,12
"199","GP","M",15,"T",4,3,"yes",7,9,0,9,11,11,7,9
"200","GP","M",15,"T",4,4,"yes",12,15,15,11,12,12,12,11
"201","GP","M",15,"T",4,4,"yes",9,11,12,10,11,11,9,10
"202","GP","M",15,"T",4,4,"no",11,13,14,16,15,16,11,16
"203","GP","M",15,"T",4,4,"yes",10,13,14,12,13,12,10,12
"204","GP","M",15,"T",4,4,"yes",17,16,17,15,15,15,17,15
"205","GP","M",15,"T",4,4,"yes",19,18,18,14,15,15,19,14
"206","GP","M",15,"T",4,4,"no",14,15,15,15,15,16,14,15
"207","GP","M",15,"A",2,1,"yes",8,9,10,12,11,11,8,12
"208","GP","M",15,"A",3,2,"yes",16,18,19,15,16,17,16,15
"209","GP","M",15,"A",4,2,"no",11,11,10,10,9,9,11,10
"210","GP","M",15,"A",4,4,"yes",18,19,19,13,14,14,18,13
"211","GP","M",15,"T",1,2,"yes",9,10,9,14,13,14,9,14
"212","GP","M",15,"T",2,2,"yes",11,13,14,11,12,12,11,11
"213","GP","M",15,"T",2,2,"yes",15,15,15,13,12,13,15,13
"214","GP","M",15,"T",3,3,"yes",8,10,12,13,12,12,8,13
"215","GP","M",15,"T",4,2,"yes",18,19,19,18,17,18,18,18
"216","GP","M",15,"T",4,3,"yes",15,16,18,14,14,14,15,14
"217","GP","M",15,"T",4,4,"yes",14,14,14,12,13,12,14,12
"218","GP","M",15,"T",4,4,"yes",12,12,12,10,11,11,12,10
"219","GP","M",16,"A",4,4,"yes",15,16,15,13,13,13,15,13
"220","GP","M",16,"T",2,1,"no",8,9,8,14,13,12,8,14
"221","GP","M",16,"T",2,2,"no",17,15,15,12,10,11,17,12
"222","GP","M",16,"T",3,3,"yes",8,9,10,11,10,10,8,11
"223","GP","M",16,"T",4,2,"yes",10,8,9,10,9,11,10,10
"224","GP","M",16,"T",4,3,"yes",11,15,15,9,11,11,11,9
"225","GP","M",16,"T",4,4,"yes",18,18,18,14,14,15,18,14
"226","GP","M",16,"T",3,3,"yes",9,9,10,10,11,12,9,10
"227","GP","M",16,"T",0,2,"yes",13,15,15,11,12,11,13,11
"228","GP","M",16,"T",1,0,"yes",13,15,16,16,17,18,13,16
"229","GP","M",16,"T",1,2,"yes",11,12,11,10,9,11,11,10
"230","GP","M",16,"T",2,1,"yes",18,18,18,15,16,16,18,15
"231","GP","M",16,"T",2,2,"yes",10,10,10,9,10,11,10,9
"232","GP","M",16,"T",2,2,"yes",11,10,10,12,10,11,11,12
"233","GP","M",16,"T",2,3,"yes",13,14,14,13,12,12,13,13
"234","GP","M",16,"T",3,1,"no",12,12,14,13,13,14,12,13
"235","GP","M",16,"T",3,1,"yes",13,15,15,13,11,11,13,13
"236","GP","M",16,"T",3,2,"yes",11,9,10,12,12,12,11,12
"237","GP","M",16,"T",3,2,"yes",12,14,15,12,12,12,12,12
"238","GP","M",16,"T",3,3,"yes",7,10,10,9,11,10,7,9
"239","GP","M",16,"T",3,3,"yes",10,12,12,10,10,1,10,10
"240","GP","M",16,"T",3,3,"yes",13,14,13,14,14,15,13,14
"241","GP","M",16,"T",3,3,"yes",16,18,18,13,14,14,16,13
"242","GP","M",16,"T",3,3,"yes",16,18,18,11,12,13,16,11
"243","GP","M",16,"T",3,3,"yes",12,13,12,13,14,14,12,13
"244","GP","M",16,"T",3,3,"yes",12,13,12,11,12,13,12,11
"245","GP","M",16,"T",3,4,"yes",6,5,0,9,9,10,6,9
"246","GP","M",16,"T",4,3,"yes",19,19,20,17,17,17,19,17
"247","GP","M",16,"T",4,3,"yes",9,8,8,11,10,11,9,11
"248","GP","M",16,"T",4,4,"yes",14,11,13,12,13,13,14,12
"249","GP","M",16,"T",4,4,"yes",14,13,13,13,13,14,14,13
"250","GP","M",16,"T",4,4,"yes",13,12,12,14,15,15,13,14
"251","GP","M",16,"T",4,4,"yes",13,12,12,15,13,13,13,15
"252","GP","M",16,"T",4,4,"yes",7,7,5,9,9,8,7,9
"253","GP","M",16,"T",4,4,"yes",16,17,17,16,16,16,16,16
"254","GP","M",16,"T",4,4,"yes",7,6,0,16,14,14,7,16
"255","GP","M",16,"T",4,4,"yes",7,6,0,9,9,8,7,9
"256","GP","M",16,"T",4,4,"yes",15,15,16,16,14,14,15,16
"257","GP","M",16,"T",4,4,"yes",15,15,16,9,9,8,15,9
"258","GP","M",16,"T",4,4,"yes",10,12,11,12,11,12,10,12
"259","GP","M",16,"A",3,4,"yes",11,11,11,12,12,13,11,12
"260","GP","M",16,"A",4,4,"no",8,6,7,9,9,10,8,9
"261","GP","M",16,"T",1,1,"yes",9,7,6,9,9,9,9,9
"262","GP","M",16,"T",1,1,"no",14,12,12,10,10,10,14,10
"263","GP","M",16,"T",2,1,"no",12,13,14,9,10,10,12,9
"264","GP","M",16,"T",2,1,"yes",15,15,15,13,14,16,15,13
"265","GP","M",16,"T",2,2,"yes",12,12,11,13,12,13,12,13
"266","GP","M",16,"T",2,2,"yes",13,13,12,10,10,10,13,10
"267","GP","M",16,"T",2,2,"yes",9,9,9,12,11,11,9,12
"268","GP","M",16,"T",4,2,"yes",15,15,16,12,13,14,15,12
"269","GP","M",16,"T",4,3,"yes",8,10,10,12,12,12,8,12
"270","GP","M",16,"T",4,3,"yes",15,15,15,12,12,13,15,12
"271","GP","M",16,"T",4,3,"yes",6,0,0,14,14,15,6,14
"272","GP","M",17,"T",1,2,"no",15,14,14,16,17,18,15,16
"273","GP","M",17,"T",1,2,"no",8,9,10,9,9,10,8,9
"274","GP","M",17,"T",1,3,"yes",9,7,8,12,11,11,9,12
"275","GP","M",17,"T",2,1,"yes",8,12,12,12,12,13,8,12
"276","GP","M",17,"T",2,2,"yes",11,11,11,12,13,13,11,12
"277","GP","M",17,"T",2,2,"yes",11,10,10,11,10,10,11,11
"278","GP","M",17,"T",3,4,"no",10,0,0,10,9,10,10,10
"279","GP","M",17,"A",4,4,"yes",10,11,12,12,12,12,10,12
"280","GP","M",17,"T",1,1,"no",5,8,7,8,8,8,5,8
"281","GP","M",17,"T",1,2,"no",16,12,13,9,8,10,16,9
"282","GP","M",17,"T",2,1,"yes",7,6,0,8,8,9,7,8
"283","GP","M",17,"T",1,1,"yes",12,10,11,12,12,12,12,12
"284","GP","M",17,"T",1,2,"yes",7,8,8,10,11,12,7,10
"285","GP","M",17,"T",2,1,"yes",5,0,0,9,9,10,5,9
"286","GP","M",17,"T",2,1,"yes",5,0,0,9,7,6,5,9
"287","GP","M",17,"T",2,1,"yes",8,8,10,9,9,10,8,9
"288","GP","M",17,"T",2,1,"yes",8,8,10,9,7,6,8,9
"289","GP","M",17,"T",2,3,"yes",12,12,13,9,12,13,12,9
"290","GP","M",17,"T",3,1,"yes",9,9,10,11,11,14,9,11
"291","GP","M",17,"T",3,2,"yes",6,5,5,8,8,7,6,8
"292","GP","M",17,"T",3,3,"yes",14,12,11,14,15,15,14,14
"293","GP","M",17,"T",3,3,"yes",6,5,6,11,9,10,6,11
"294","GP","M",17,"T",3,3,"yes",14,15,16,17,18,17,14,17
"295","GP","M",17,"T",3,3,"yes",12,12,11,11,13,14,12,11
"296","GP","M",17,"T",4,3,"yes",10,10,11,11,11,13,10,11
"297","GP","M",17,"T",4,4,"yes",17,15,16,13,13,14,17,13
"298","GP","M",17,"T",4,4,"yes",11,9,9,13,13,13,11,13
"299","GP","M",17,"A",3,2,"yes",11,9,10,13,13,13,11,13
"300","GP","M",17,"A",4,1,"yes",8,8,8,11,11,10,8,11
"301","GP","M",17,"T",1,1,"yes",7,9,8,9,10,10,7,9
"302","GP","M",17,"T",2,2,"yes",14,13,13,16,16,16,14,16
"303","GP","M",17,"T",2,3,"yes",12,11,12,10,11,11,12,10
"304","GP","M",17,"T",4,3,"yes",12,12,12,15,15,15,12,15
"305","GP","M",17,"T",4,3,"yes",10,9,9,10,11,11,10,10
"306","GP","M",17,"T",4,4,"yes",11,11,10,12,13,13,11,12
"307","GP","M",17,"T",4,4,"yes",12,12,13,13,12,12,12,13
"308","GP","M",17,"T",4,4,"yes",13,11,10,11,9,10,13,11
"309","GP","M",18,"T",3,2,"no",13,12,12,10,11,12,13,10
"310","GP","M",18,"T",4,3,"yes",16,15,16,15,14,17,16,15
"311","GP","M",18,"A",3,4,"yes",17,17,17,15,16,16,17,15
"312","GP","M",18,"T",3,2,"yes",14,13,14,14,15,15,14,14
"313","GP","M",18,"T",3,3,"yes",3,5,5,10,9,10,3,10
"314","GP","M",18,"T",2,1,"yes",15,14,14,16,16,16,15,16
"315","GP","M",18,"T",2,1,"yes",6,9,8,7,8,6,6,7
"316","GP","M",18,"T",2,1,"yes",15,14,14,14,15,15,15,14
"317","GP","M",18,"T",2,2,"yes",12,13,13,10,9,10,12,10
"318","GP","M",18,"T",2,2,"yes",7,7,0,8,7,8,7,8
"319","GP","M",18,"T",2,2,"yes",6,7,8,12,11,11,6,12
"320","GP","M",18,"T",3,2,"yes",6,8,8,7,8,7,6,7
"321","GP","M",18,"T",4,2,"yes",10,9,10,10,12,14,10,10
"322","GP","M",18,"T",4,2,"yes",12,11,11,15,16,16,12,15
"323","GP","M",18,"T",4,3,"yes",8,8,8,10,10,11,8,10
"324","GP","M",18,"T",4,3,"yes",10,10,9,14,13,14,10,14
"325","GP","M",18,"T",4,4,"yes",9,12,11,13,14,13,9,13
"326","GP","M",18,"T",4,4,"yes",9,9,9,12,12,13,9,12
"327","GP","M",18,"T",4,4,"yes",9,9,9,11,12,12,9,11
"328","GP","M",18,"T",4,4,"yes",10,10,0,12,12,13,10,12
"329","GP","M",18,"T",4,4,"yes",10,10,0,11,12,12,10,11
"330","GP","M",18,"A",4,4,"yes",15,13,15,17,17,17,15,17
"331","GP","M",18,"T",1,1,"yes",6,5,0,11,9,0,6,11
"332","GP","M",18,"T",2,1,"yes",10,8,9,9,10,11,10,9
"333","GP","M",18,"T",2,2,"yes",9,8,8,11,11,12,9,11
"334","GP","M",18,"T",3,3,"yes",6,6,8,10,10,10,6,10
"335","GP","M",18,"T",3,4,"yes",16,15,15,16,16,17,16,16
"336","GP","M",18,"T",4,3,"yes",10,11,10,10,10,10,10,10
"337","GP","M",18,"T",4,4,"yes",16,15,16,18,18,17,16,18
"338","GP","M",19,"T",3,3,"no",15,12,12,10,10,11,15,10
"339","GP","M",19,"T",3,2,"yes",5,0,0,11,9,11,5,11
"340","GP","M",19,"A",4,3,"yes",11,11,11,11,13,14,11,11
"341","GP","M",20,"A",3,2,"no",17,18,18,14,15,15,17,14
"342","GP","M",22,"T",3,1,"yes",6,8,8,7,8,5,6,7
"343","MS","F",17,"T",1,1,"yes",7,6,0,8,8,9,7,8
"344","MS","F",17,"T",1,2,"yes",6,5,5,7,8,9,6,7
"345","MS","F",17,"T",1,2,"no",12,11,12,13,13,13,12,13
"346","MS","F",17,"T",3,1,"yes",10,10,10,8,9,9,10,8
"347","MS","F",17,"T",4,4,"yes",12,13,13,12,12,12,12,12
"348","MS","F",17,"T",2,2,"no",13,11,11,10,11,12,13,10
"349","MS","F",17,"A",3,2,"no",12,12,11,15,14,15,12,15
"350","MS","F",17,"T",4,4,"yes",16,15,15,15,14,15,16,15
"351","MS","F",18,"T",1,1,"yes",8,8,10,10,11,12,8,10
"352","MS","F",18,"T",2,2,"no",10,9,10,14,17,15,10,14
"353","MS","F",18,"T",4,4,"yes",14,12,11,7,5,0,14,7
"354","MS","F",18,"T",4,4,"yes",6,5,6,7,9,10,6,7
"355","MS","F",18,"T",4,4,"yes",19,18,19,15,17,17,19,15
"356","MS","F",18,"T",4,4,"yes",8,9,10,13,14,14,8,13
"357","MS","F",18,"T",1,1,"no",6,5,0,7,8,7,6,7
"358","MS","F",18,"T",1,1,"no",6,5,0,11,12,9,6,11
"359","MS","F",18,"T",2,3,"yes",11,10,10,10,10,10,11,10
"360","MS","F",18,"T",3,3,"yes",15,15,15,16,16,16,15,16
"361","MS","F",18,"T",3,3,"no",10,9,9,10,10,10,10,10
"362","MS","F",18,"T",3,3,"yes",11,11,10,13,12,13,11,13
"363","MS","F",18,"T",1,1,"yes",18,16,16,19,17,18,18,19
"364","MS","F",18,"T",3,1,"yes",7,9,8,15,15,16,7,15
"365","MS","F",19,"T",2,3,"yes",7,5,0,10,11,10,7,10
"366","MS","M",17,"T",4,3,"yes",13,11,11,10,11,11,13,10
"367","MS","M",17,"T",2,3,"yes",11,11,10,14,15,16,11,14
"368","MS","M",17,"T",3,3,"yes",13,13,13,8,9,10,13,8
"369","MS","M",17,"T",3,1,"yes",14,16,16,10,10,10,14,10
"370","MS","M",18,"T",1,3,"no",10,10,10,8,10,9,10,8
"371","MS","M",18,"T",2,1,"yes",7,6,7,7,7,0,7,7
"372","MS","M",18,"T",3,2,"yes",11,13,13,9,10,11,11,9
"373","MS","M",18,"T",4,2,"no",6,5,5,7,7,0,6,7
"374","MS","M",18,"T",1,2,"yes",14,12,12,9,10,10,14,9
"375","MS","M",18,"T",3,2,"yes",11,12,10,10,11,11,11,10
"376","MS","M",18,"T",4,4,"yes",15,14,14,17,18,19,15,17
