"school","sex","age","Pstatus","Medu","Fedu","internet","G1.x","G2.x","G3.x","G1.y","G2.y","G3.y"
"79","GP","F",16,"T",4,4,"yes",13,13,14,15,16,16
"80","GP","F",16,"A",3,3,"yes",11,12,11,13,12,13
"81","GP","F",16,"T",1,1,"yes",14,14,13,10,11,11
"82","GP","F",16,"T",1,2,"yes",8,10,9,13,13,10
"83","GP","F",16,"T",2,2,"no",8,7,6,13,11,11
"84","GP","F",16,"T",2,2,"yes",10,10,9,10,11,11
"85","GP","F",16,"T",2,2,"yes",7,10,11,11,11,10
"86","GP","F",16,"T",2,2,"yes",12,13,13,14,13,13
"87","GP","F",16,"T",2,4,"yes",13,13,13,14,12,13
"88","GP","F",16,"T",3,1,"no",7,6,6,12,13,12
"89","GP","F",16,"T",3,3,"yes",10,11,9,14,14,15
"90","GP","F",16,"T",4,3,"yes",16,15,15,16,15,16
"91","GP","F",16,"T",4,4,"yes",14,15,16,15,15,14
"92","GP","F",16,"T",4,4,"yes",9,9,10,11,10,11
"93","GP","F",17,"A",3,2,"yes",9,10,10,14,14,16
"94","GP","F",17,"T",2,1,"no",13,11,11,13,13,13
"95","GP","F",17,"T",2,1,"yes",6,6,6,11,10,11
"96","GP","F",17,"T",2,2,"yes",7,6,6,13,13,13
"97","GP","F",17,"T",2,4,"yes",12,14,14,15,15,15
"98","GP","F",17,"T",3,4,"yes",11,11,10,15,15,17
"99","GP","F",17,"T",4,3,"yes",7,7,7,11,12,12
"100","GP","F",17,"T",2,2,"yes",11,11,11,11,11,10
"101","GP","F",17,"T",3,1,"no",18,18,18,18,19,19
"102","GP","F",17,"T",4,4,"no",8,10,10,12,11,11
"103","GP","F",17,"A",2,1,"yes",12,10,12,15,15,16
"104","GP","F",17,"A",2,2,"yes",9,8,0,10,12,14
"105","GP","F",17,"A",3,3,"yes",8,7,9,12,13,14
"106","GP","F",17,"A",4,3,"yes",13,13,13,15,14,17
"107","GP","F",17,"A",4,4,"no",6,5,6,10,13,13
"108","GP","F",17,"T",1,1,"yes",5,5,6,9,11,11
"109","GP","F",17,"T",1,1,"no",6,5,0,12,12,12
"110","GP","F",17,"T",1,1,"yes",8,8,9,12,11,12
"111","GP","F",17,"T",1,1,"no",9,9,10,14,15,15
"112","GP","F",17,"T",1,1,"yes",13,12,12,13,13,14
"113","GP","F",17,"T",2,2,"yes",9,10,10,12,12,13
"114","GP","F",17,"T",2,2,"yes",10,9,11,12,12,14
"115","GP","F",17,"T",2,2,"no",11,9,9,14,13,13
"116","GP","F",17,"T",2,3,"no",7,7,8,12,13,13
"117","GP","F",17,"T",2,4,"yes",10,10,10,15,16,16
"118","GP","F",17,"T",2,4,"no",16,17,17,17,18,17
"119","GP","F",17,"T",3,1,"yes",12,14,15,17,18,17
"120","GP","F",17,"T",3,2,"yes",17,17,18,18,18,18
"121","GP","F",17,"T",3,2,"yes",16,15,15,17,18,17
"122","GP","F",17,"T",3,2,"yes",7,8,0,12,13,15
"123","GP","F",17,"T",3,3,"no",10,9,9,15,12,13
"124","GP","F",17,"T",3,4,"yes",10,9,9,8,9,8
"125","GP","F",17,"T",3,4,"yes",16,15,15,11,13,14
"126","GP","F",17,"T",4,2,"yes",15,12,14,16,16,16
"127","GP","F",17,"T",4,3,"yes",13,15,15,11,12,13
"128","GP","F",17,"T",4,3,"yes",15,15,15,17,18,18
"129","GP","F",17,"T",4,3,"yes",6,6,4,11,9,10
"130","GP","F",17,"T",4,4,"no",11,11,12,13,13,13
"131","GP","F",17,"T",4,4,"yes",18,18,18,14,15,16
"132","GP","F",17,"T",4,4,"yes",10,9,9,11,11,12
"133","GP","F",17,"T",4,4,"yes",10,9,9,13,12,13
"134","GP","F",17,"T",4,4,"yes",14,14,14,15,14,15
"135","GP","F",17,"T",0,2,"yes",16,15,15,14,14,15
"136","GP","F",17,"T",2,2,"yes",10,13,12,13,12,12
"137","GP","F",17,"T",2,2,"yes",12,12,12,12,12,12
"138","GP","F",17,"T",2,2,"yes",10,9,0,10,11,12
"139","GP","F",17,"T",2,4,"yes",14,15,15,14,15,16
"140","GP","F",17,"T",3,2,"yes",14,15,15,14,16,15
"141","GP","F",17,"T",3,3,"yes",9,9,8,14,13,14
"142","GP","F",17,"T",4,2,"yes",14,12,13,14,15,17
"143","GP","F",17,"T",4,3,"yes",13,13,14,14,12,12
"144","GP","F",18,"A",3,2,"yes",10,9,9,12,9,10
"145","GP","F",18,"T",1,1,"no",9,8,10,11,10,11
"146","GP","F",18,"T",2,1,"yes",6,0,0,8,9,10
"147","GP","F",18,"T",2,2,"no",10,9,0,14,13,14
"148","GP","F",18,"T",3,1,"yes",9,8,7,8,8,8
"149","GP","F",18,"T",4,4,"yes",12,10,11,10,11,12
"150","GP","F",18,"T",1,1,"no",12,12,12,17,17,18
"151","GP","F",18,"A",4,4,"no",5,6,6,0,11,11
"152","GP","F",18,"T",1,1,"yes",8,9,10,12,13,13
"153","GP","F",18,"T",1,1,"yes",8,9,10,14,14,14
"154","GP","F",18,"T",2,1,"yes",7,0,0,12,10,11
"155","GP","F",18,"T",2,1,"yes",8,8,0,12,12,15
"156","GP","F",18,"T",2,2,"yes",18,18,19,18,18,18
"157","GP","F",18,"T",2,2,"yes",9,10,0,11,12,13
"158","GP","F",18,"T",2,3,"yes",11,10,10,11,12,14
"159","GP","F",18,"T",2,3,"yes",15,14,14,16,16,16
"160","GP","F",18,"T",3,2,"yes",13,13,14,14,16,17
"161","GP","F",18,"T",3,3,"yes",7,0,0,10,11,12
"162","GP","F",18,"T",4,3,"yes",9,10,9,14,15,17
"163","GP","F",18,"T",4,3,"yes",14,13,14,16,17,17
"164","GP","F",18,"T",4,3,"yes",17,18,18,15,15,15
"165","GP","F",18,"T",4,4,"yes",9,8,8,14,12,13
"166","GP","F",18,"T",4,4,"yes",11,11,11,12,11,13
"167","GP","F",18,"A",4,4,"yes",12,10,11,14,15,15
"168","GP","F",18,"T",1,1,"no",11,11,11,13,13,13
"169","GP","F",18,"T",2,2,"yes",8,8,0,10,9,12
"170","GP","F",18,"T",3,3,"yes",16,15,17,14,14,15
"171","GP","F",18,"T",4,3,"yes",10,8,8,13,14,14
"172","GP","F",19,"T",0,1,"no",7,8,9,9,10,11
"173","GP","F",19,"T",3,3,"yes",8,8,8,12,12,12
"174","GP","F",19,"T",3,3,"yes",9,9,9,11,12,12
"175","GP","F",19,"T",4,4,"yes",10,9,0,14,13,13
"176","GP","M",15,"T",2,1,"yes",9,9,9,10,9,10
"177","GP","M",15,"T",2,3,"no",11,8,8,7,8,8
"178","GP","M",15,"T",3,4,"no",9,0,0,12,11,11
"179","GP","M",15,"T",4,3,"yes",17,16,16,13,14,15
"180","GP","M",15,"T",4,4,"yes",10,13,13,12,10,11
"181","GP","M",15,"A",2,2,"yes",14,16,16,14,14,15
"182","GP","M",15,"A",3,4,"yes",16,18,18,16,16,16
"183","GP","M",15,"A",4,4,"yes",13,13,12,11,12,12
"184","GP","M",15,"T",2,2,"yes",12,12,11,11,12,12
"185","GP","M",15,"T",2,2,"yes",8,8,11,9,10,10
"186","GP","M",15,"T",2,2,"yes",16,14,15,14,13,13
"187","GP","M",15,"T",2,3,"yes",11,10,11,10,9,9
"188","GP","M",15,"T",2,3,"yes",10,12,12,11,11,12
"189","GP","M",15,"T",3,4,"yes",14,15,15,12,12,13
"190","GP","M",15,"T",3,4,"yes",14,13,13,14,13,14
"191","GP","M",15,"T",3,4,"yes",13,13,12,9,9,9
"192","GP","M",15,"T",4,0,"yes",11,11,10,12,11,11
"193","GP","M",15,"T",4,2,"yes",15,16,15,11,11,11
"194","GP","M",15,"T",4,2,"yes",10,10,10,11,9,10
"195","GP","M",15,"T",4,2,"no",15,15,14,11,12,13
"196","GP","M",15,"T",4,3,"yes",10,10,11,12,12,13
"197","GP","M",15,"T",4,3,"yes",9,9,10,11,11,11
"198","GP","M",15,"T",4,3,"yes",13,14,15,12,13,14
"199","GP","M",15,"T",4,3,"yes",7,9,0,9,11,11
"200","GP","M",15,"T",4,4,"yes",12,15,15,11,12,12
"201","GP","M",15,"T",4,4,"yes",9,11,12,10,11,11
"202","GP","M",15,"T",4,4,"no",11,13,14,16,15,16
"203","GP","M",15,"T",4,4,"yes",10,13,14,12,13,12
"204","GP","M",15,"T",4,4,"yes",17,16,17,15,15,15
"205","GP","M",15,"T",4,4,"yes",19,18,18,14,15,15
"206","GP","M",15,"T",4,4,"no",14,15,15,15,15,16
"207","GP","M",15,"A",2,1,"yes",8,9,10,12,11,11
"208","GP","M",15,"A",3,2,"yes",16,18,19,15,16,17
"209","GP","M",15,"A",4,2,"no",11,11,10,10,9,9
"210","GP","M",15,"A",4,4,"yes",18,19,19,13,14,14
"211","GP","M",15,"T",1,2,"yes",9,10,9,14,13,14
"212","GP","M",15,"T",2,2,"yes",11,13,14,11,12,12
"213","GP","M",15,"T",2,2,"yes",15,15,15,13,12,13
"214","GP","M",15,"T",3,3,"yes",8,10,12,13,12,12
"215","GP","M",15,"T",4,2,"yes",18,19,19,18,17,18
"216","GP","M",15,"T",4,3,"yes",15,16,18,14,14,14
"217","GP","M",15,"T",4,4,"yes",14,14,14,12,13,12
"218","GP","M",15,"T",4,4,"yes",12,12,12,10,11,11
"219","GP","M",16,"A",4,4,"yes",15,16,15,13,13,13
"220","GP","M",16,"T",2,1,"no",8,9,8,14,13,12
"221","GP","M",16,"T",2,2,"no",17,15,15,12,10,11
"222","GP","M",16,"T",3,3,"yes",8,9,10,11,10,10
"223","GP","M",16,"T",4,2,"yes",10,8,9,10,9,11
"224","GP","M",16,"T",4,3,"yes",11,15,15,9,11,11
"225","GP","M",16,"T",4,4,"yes",18,18,18,14,14,15
"226","GP","M",16,"T",3,3,"yes",9,9,10,10,11,12
"227","GP","M",16,"T",0,2,"yes",13,15,15,11,12,11
"228","GP","M",16,"T",1,0,"yes",13,15,16,16,17,18
"229","GP","M",16,"T",1,2,"yes",11,12,11,10,9,11
"230","GP","M",16,"T",2,1,"yes",18,18,18,15,16,16
"231","GP","M",16,"T",2,2,"yes",10,10,10,9,10,11
"232","GP","M",16,"T",2,2,"yes",11,10,10,12,10,11
"233","GP","M",16,"T",2,3,"yes",13,14,14,13,12,12
"234","GP","M",16,"T",3,1,"no",12,12,14,13,13,14
"235","GP","M",16,"T",3,1,"yes",13,15,15,13,11,11
"236","GP","M",16,"T",3,2,"yes",11,9,10,12,12,12
"237","GP","M",16,"T",3,2,"yes",12,14,15,12,12,12
"238","GP","M",16,"T",3,3,"yes",7,10,10,9,11,10
"239","GP","M",16,"T",3,3,"yes",10,12,12,10,10,1
"240","GP","M",16,"T",3,3,"yes",13,14,13,14,14,15
"241","GP","M",16,"T",3,3,"yes",16,18,18,13,14,14
"242","GP","M",16,"T",3,3,"yes",16,18,18,11,12,13
"243","GP","M",16,"T",3,3,"yes",12,13,12,13,14,14
"244","GP","M",16,"T",3,3,"yes",12,13,12,11,12,13
"245","GP","M",16,"T",3,4,"yes",6,5,0,9,9,10
"246","GP","M",16,"T",4,3,"yes",19,19,20,17,17,17
"247","GP","M",16,"T",4,3,"yes",9,8,8,11,10,11
"248","GP","M",16,"T",4,4,"yes",14,11,13,12,13,13
"249","GP","M",16,"T",4,4,"yes",14,13,13,13,13,14
"250","GP","M",16,"T",4,4,"yes",13,12,12,14,15,15
"251","GP","M",16,"T",4,4,"yes",13,12,12,15,13,13
"252","GP","M",16,"T",4,4,"yes",7,7,5,9,9,8
"253","GP","M",16,"T",4,4,"yes",16,17,17,16,16,16
"254","GP","M",16,"T",4,4,"yes",7,6,0,16,14,14
"255","GP","M",16,"T",4,4,"yes",7,6,0,9,9,8
"256","GP","M",16,"T",4,4,"yes",15,15,16,16,14,14
"257","GP","M",16,"T",4,4,"yes",15,15,16,9,9,8
"258","GP","M",16,"T",4,4,"yes",10,12,11,12,11,12
"259","GP","M",16,"A",3,4,"yes",11,11,11,12,12,13
"260","GP","M",16,"A",4,4,"no",8,6,7,9,9,10
"261","GP","M",16,"T",1,1,"yes",9,7,6,9,9,9
"262","GP","M",16,"T",1,1,"no",14,12,12,10,10,10
"263","GP","M",16,"T",2,1,"no",12,13,14,9,10,10
"264","GP","M",16,"T",2,1,"yes",15,15,15,13,14,16
"265","GP","M",16,"T",2,2,"yes",12,12,11,13,12,13
"266","GP","M",16,"T",2,2,"yes",13,13,12,10,10,10
"267","GP","M",16,"T",2,2,"yes",9,9,9,12,11,11
"268","GP","M",16,"T",4,2,"yes",15,15,16,12,13,14
"269","GP","M",16,"T",4,3,"yes",8,10,10,12,12,12
"270","GP","M",16,"T",4,3,"yes",15,15,15,12,12,13
"271","GP","M",16,"T",4,3,"yes",6,0,0,14,14,15
"272","GP","M",17,"T",1,2,"no",15,14,14,16,17,18
"273","GP","M",17,"T",1,2,"no",8,9,10,9,9,10
"274","GP","M",17,"T",1,3,"yes",9,7,8,12,11,11
"275","GP","M",17,"T",2,1,"yes",8,12,12,12,12,13
"276","GP","M",17,"T",2,2,"yes",11,11,11,12,13,13
"277","GP","M",17,"T",2,2,"yes",11,10,10,11,10,10
"278","GP","M",17,"T",3,4,"no",10,0,0,10,9,10
"279","GP","M",17,"A",4,4,"yes",10,11,12,12,12,12
"280","GP","M",17,"T",1,1,"no",5,8,7,8,8,8
"281","GP","M",17,"T",1,2,"no",16,12,13,9,8,10
"282","GP","M",17,"T",2,1,"yes",7,6,0,8,8,9
"283","GP","M",17,"T",1,1,"yes",12,10,11,12,12,12
"284","GP","M",17,"T",1,2,"yes",7,8,8,10,11,12
"285","GP","M",17,"T",2,1,"yes",5,0,0,9,9,10
"286","GP","M",17,"T",2,1,"yes",5,0,0,9,7,6
"287","GP","M",17,"T",2,1,"yes",8,8,10,9,9,10
"288","GP","M",17,"T",2,1,"yes",8,8,10,9,7,6
"289","GP","M",17,"T",2,3,"yes",12,12,13,9,12,13
"290","GP","M",17,"T",3,1,"yes",9,9,10,11,11,14
"291","GP","M",17,"T",3,2,"yes",6,5,5,8,8,7
"292","GP","M",17,"T",3,3,"yes",14,12,11,14,15,15
"293","GP","M",17,"T",3,3,"yes",6,5,6,11,9,10
"294","GP","M",17,"T",3,3,"yes",14,15,16,17,18,17
"295","GP","M",17,"T",3,3,"yes",12,12,11,11,13,14
"296","GP","M",17,"T",4,3,"yes",10,10,11,11,11,13
"297","GP","M",17,"T",4,4,"yes",17,15,16,13,13,14
"298","GP","M",17,"T",4,4,"yes",11,9,9,13,13,13
"299","GP","M",17,"A",3,2,"yes",11,9,10,13,13,13
"300","GP","M",17,"A",4,1,"yes",8,8,8,11,11,10
"301","GP","M",17,"T",1,1,"yes",7,9,8,9,10,10
"302","GP","M",17,"T",2,2,"yes",14,13,13,16,16,16
"303","GP","M",17,"T",2,3,"yes",12,11,12,10,11,11
"304","GP","M",17,"T",4,3,"yes",12,12,12,15,15,15
"305","GP","M",17,"T",4,3,"yes",10,9,9,10,11,11
"306","GP","M",17,"T",4,4,"yes",11,11,10,12,13,13
"307","GP","M",17,"T",4,4,"yes",12,12,13,13,12,12
"308","GP","M",17,"T",4,4,"yes",13,11,10,11,9,10
"309","GP","M",18,"T",3,2,"no",13,12,12,10,11,12
"310","GP","M",18,"T",4,3,"yes",16,15,16,15,14,17
"311","GP","M",18,"A",3,4,"yes",17,17,17,15,16,16
"312","GP","M",18,"T",3,2,"yes",14,13,14,14,15,15
"313","GP","M",18,"T",3,3,"yes",3,5,5,10,9,10
"314","GP","M",18,"T",2,1,"yes",15,14,14,16,16,16
"315","GP","M",18,"T",2,1,"yes",6,9,8,7,8,6
"316","GP","M",18,"T",2,1,"yes",15,14,14,14,15,15
"317","GP","M",18,"T",2,2,"yes",12,13,13,10,9,10
"318","GP","M",18,"T",2,2,"yes",7,7,0,8,7,8
"319","GP","M",18,"T",2,2,"yes",6,7,8,12,11,11
"320","GP","M",18,"T",3,2,"yes",6,8,8,7,8,7
"321","GP","M",18,"T",4,2,"yes",10,9,10,10,12,14
"322","GP","M",18,"T",4,2,"yes",12,11,11,15,16,16
"323","GP","M",18,"T",4,3,"yes",8,8,8,10,10,11
"324","GP","M",18,"T",4,3,"yes",10,10,9,14,13,14
"325","GP","M",18,"T",4,4,"yes",9,12,11,13,14,13
"326","GP","M",18,"T",4,4,"yes",9,9,9,12,12,13
"327","GP","M",18,"T",4,4,"yes",9,9,9,11,12,12
"328","GP","M",18,"T",4,4,"yes",10,10,0,12,12,13
"329","GP","M",18,"T",4,4,"yes",10,10,0,11,12,12
"330","GP","M",18,"A",4,4,"yes",15,13,15,17,17,17
"331","GP","M",18,"T",1,1,"yes",6,5,0,11,9,0
"332","GP","M",18,"T",2,1,"yes",10,8,9,9,10,11
"333","GP","M",18,"T",2,2,"yes",9,8,8,11,11,12
"334","GP","M",18,"T",3,3,"yes",6,6,8,10,10,10
"335","GP","M",18,"T",3,4,"yes",16,15,15,16,16,17
"336","GP","M",18,"T",4,3,"yes",10,11,10,10,10,10
"337","GP","M",18,"T",4,4,"yes",16,15,16,18,18,17
"338","GP","M",19,"T",3,3,"no",15,12,12,10,10,11
"339","GP","M",19,"T",3,2,"yes",5,0,0,11,9,11
"340","GP","M",19,"A",4,3,"yes",11,11,11,11,13,14
"341","GP","M",20,"A",3,2,"no",17,18,18,14,15,15
"342","GP","M",22,"T",3,1,"yes",6,8,8,7,8,5
"343","MS","F",17,"T",1,1,"yes",7,6,0,8,8,9
"344","MS","F",17,"T",1,2,"yes",6,5,5,7,8,9
"345","MS","F",17,"T",1,2,"no",12,11,12,13,13,13
"346","MS","F",17,"T",3,1,"yes",10,10,10,8,9,9
"347","MS","F",17,"T",4,4,"yes",12,13,13,12,12,12
"348","MS","F",17,"T",2,2,"no",13,11,11,10,11,12
"349","MS","F",17,"A",3,2,"no",12,12,11,15,14,15
"350","MS","F",17,"T",4,4,"yes",16,15,15,15,14,15
"351","MS","F",18,"T",1,1,"yes",8,8,10,10,11,12
"352","MS","F",18,"T",2,2,"no",10,9,10,14,17,15
"353","MS","F",18,"T",4,4,"yes",14,12,11,7,5,0
"354","MS","F",18,"T",4,4,"yes",6,5,6,7,9,10
"355","MS","F",18,"T",4,4,"yes",19,18,19,15,17,17
"356","MS","F",18,"T",4,4,"yes",8,9,10,13,14,14
"357","MS","F",18,"T",1,1,"no",6,5,0,7,8,7
"358","MS","F",18,"T",1,1,"no",6,5,0,11,12,9
"359","MS","F",18,"T",2,3,"yes",11,10,10,10,10,10
"360","MS","F",18,"T",3,3,"yes",15,15,15,16,16,16
"361","MS","F",18,"T",3,3,"no",10,9,9,10,10,10
"362","MS","F",18,"T",3,3,"yes",11,11,10,13,12,13
"363","MS","F",18,"T",1,1,"yes",18,16,16,19,17,18
"364","MS","F",18,"T",3,1,"yes",7,9,8,15,15,16
"365","MS","F",19,"T",2,3,"yes",7,5,0,10,11,10
"366","MS","M",17,"T",4,3,"yes",13,11,11,10,11,11
"367","MS","M",17,"T",2,3,"yes",11,11,10,14,15,16
"368","MS","M",17,"T",3,3,"yes",13,13,13,8,9,10
"369","MS","M",17,"T",3,1,"yes",14,16,16,10,10,10
"370","MS","M",18,"T",1,3,"no",10,10,10,8,10,9
"371","MS","M",18,"T",2,1,"yes",7,6,7,7,7,0
"372","MS","M",18,"T",3,2,"yes",11,13,13,9,10,11
"373","MS","M",18,"T",4,2,"no",6,5,5,7,7,0
"374","MS","M",18,"T",1,2,"yes",14,12,12,9,10,10
"375","MS","M",18,"T",3,2,"yes",11,12,10,10,11,11
"376","MS","M",18,"T",4,4,"yes",15,14,14,17,18,19
"377","MS","M",18,"T",1,1,"yes",10,10,10,14,13,14
"378","MS","M",18,"T",1,3,"yes",8,7,8,9,10,9
"379","MS","M",18,"T",4,4,"yes",13,13,13,15,16,16
"380","MS","M",19,"T",1,1,"yes",8,8,8,8,9,10
"381","MS","M",19,"T",1,1,"yes",8,7,8,10,9,11
"382","MS","M",19,"T",1,1,"no",6,5,0,5,8,0
